code;name;Count of LABSAMPCODE;Sum of BelowLOQ;Sum of BetweenLOQandMRL;Sum of AboveMRL;%below LOQ;%betweenLOQ_MRL;%aboveLOQ
AT;Austria;1628;971;604;53;59.64373464;37.1007371;3.255528256
BE;Belgium;2780;1050;1573;157;37.76978417;56.58273381;5.647482014
BG;Bulgaria;6807;2647;3535;625;38.88644043;51.93183488;9.181724695
HR;Croatia;608;426;167;15;70.06578947;27.46710526;2.467105263
CY;Cyprus;716;488;184;44;68.15642458;25.69832402;6.145251397
CZ;Czech Republic;1981;1108;834;39;55.9313478;42.09994952;1.968702675
DK;Denmark;1955;1110;790;55;56.77749361;40.40920716;2.813299233
EE;Estonia;334;232;94;8;69.46107784;28.14371257;2.395209581
FI;Finland;1664;992;588;84;59.61538462;35.33653846;5.048076923
FR;France;8255;5220;2650;385;63.23440339;32.10175651;4.663840097
DE;Germany;19254;7958;10494;802;41.33167134;54.50296042;4.165368235
EL;Greece;2623;1317;1150;156;50.20968357;43.84292795;5.947388486
HU;Hungary;2607;1421;1125;61;54.50709628;43.15304948;2.339854239
IS;Iceland;231;120;107;4;51.94805195;46.32034632;1.731601732
IE;Ireland;1083;651;418;14;60.11080332;38.59649123;1.292705448
IT;Italy;11305;7343;3675;287;64.95356037;32.50773994;2.53869969
LV;Latvia;342;281;59;2;82.16374269;17.25146199;0.584795322
LT;Lithuania;800;499;301;0;62.375;37.625;0
LU;Luxembourg;396;206;174;16;52.02020202;43.93939394;4.04040404
MT;Malta;145;117;23;5;80.68965517;15.86206897;3.448275862
NL;Netherlands;3289;1065;1913;311;32.38066282;58.16357555;9.45576163
NO;Norway;1313;625;660;28;47.60091394;50.26656512;2.132520944
PL;Poland;2448;1241;1125;82;50.69444444;45.95588235;3.349673203
PT;Portugal;710;356;306;48;50.14084507;43.09859155;6.76056338
RO;Romania;5772;4865;855;52;84.28620929;14.81288981;0.900900901
SK;Slovakia;520;252;253;15;48.46153846;48.65384615;2.884615385
SI;Slovenia;903;893;1;9;98.89258029;0.110741971;0.996677741
ES;Spain;2767;1844;839;84;66.64257318;30.32164799;3.035778822
SE;Sweden;1816;810;954;52;44.60352423;52.53303965;2.863436123
UK;United Kingdom;3195;1651;1417;127;51.67449139;44.35054773;3.974960876