name;Count of LABSAMPCODE;Sum of BelowLOQ;Sum of BetweenLOQandMRL;Sum of AboveMRL;%belowLOQ;%betweenLOQ_MRL;%aboveLOQ
Albania;192;129;61;2;67.1875;31.77083333;1.041666667
Algeria;7;6;1;0;85.71428571;14.28571429;0
Andorra;1;1;0;0;100;0;0
Anguilla;1;0;1;0;0;100;0
Argentina;489;227;247;15;46.42126789;50.51124744;3.067484663
Armenia;1;1;0;0;100;0;0
Australia;72;48;23;1;66.66666667;31.94444444;1.388888889
Austria;1309;955;346;8;72.95645531;26.43239114;0.611153552
Azerbaijan;1;1;0;0;100;0;0
Bahamas;1;1;0;0;100;0;0
Bahrain;1;0;1;0;0;100;0
Bangladesh;48;26;15;7;54.16666667;31.25;14.58333333
Belarus;39;28;8;3;71.79487179;20.51282051;7.692307692
Belgium;2146;856;1231;59;39.88816403;57.36253495;2.749301025
Belize;3;1;2;0;33.33333333;66.66666667;0
Benin;7;0;0;7;0;0;100
Bolivia;33;29;3;1;87.87878788;9.090909091;3.03030303
Bosnia and Herzegovina;23;15;8;0;65.2173913;34.7826087;0
Brazil;610;141;425;44;23.1147541;69.67213115;7.213114754
Brunei;1;0;1;0;0;100;0
Bulgaria;257;210;42;5;81.71206226;16.34241245;1.945525292
Burkina Faso;13;12;1;0;92.30769231;7.692307692;0
Burundi;8;5;0;3;62.5;0;37.5
Cambodia;78;53;16;9;67.94871795;20.51282051;11.53846154
Cameroon;40;14;23;3;35;57.5;7.5
Canada;131;109;20;2;83.20610687;15.26717557;1.526717557
Central African Republic;1;0;1;0;0;100;0
Chile;657;151;485;21;22.98325723;73.82039574;3.196347032
China;1444;567;610;267;39.26592798;42.24376731;18.49030471
Colombia;303;99;178;26;32.67326733;58.74587459;8.580858086
Congo;3;2;1;0;66.66666667;33.33333333;0
Costa Rica;743;209;522;12;28.12920592;70.25572005;1.615074024
Côte d'Ivoire;46;25;20;1;54.34782609;43.47826087;2.173913043
Croatia;414;245;162;7;59.17874396;39.13043478;1.690821256
Cuba;11;7;3;1;63.63636364;27.27272727;9.090909091
Cyprus;511;322;161;28;63.01369863;31.50684932;5.479452055
Czech Republic;474;262;195;17;55.2742616;41.13924051;3.58649789
Denmark;822;654;160;8;79.5620438;19.46472019;0.97323601
Dominica;46;45;0;1;97.82608696;0;2.173913043
Dominican Republic;487;162;284;41;33.26488706;58.31622177;8.41889117
Ecuador;262;68;193;1;25.95419847;73.66412214;0.381679389
EEA;138;118;19;1;85.50724638;13.76811594;0.724637681
Egypt;1070;444;535;91;41.4953271;50;8.504672897
El Salvador;1;1;0;0;100;0;0
Estonia;258;217;41;0;84.10852713;15.89147287;0
Ethiopia;95;22;68;5;23.15789474;71.57894737;5.263157895
Finland;315;240;74;1;76.19047619;23.49206349;0.317460317
Former Yugoslav Republic of Macedonia;133;80;50;3;60.15037594;37.59398496;2.255639098
France;4031;1935;1945;151;48.00297693;48.25105433;3.745968742
French Guiana;6;5;1;0;83.33333333;16.66666667;0
Georgia;27;15;11;1;55.55555556;40.74074074;3.703703704
Germany;10135;4891;5010;234;48.25851011;49.4326591;2.308830784
Ghana;44;19;22;3;43.18181818;50;6.818181818
Greece;2660;1363;1220;77;51.2406015;45.86466165;2.894736842
Guadeloupe;293;274;14;5;93.51535836;4.778156997;1.706484642
Guatemala;60;23;35;2;38.33333333;58.33333333;3.333333333
Guyana;97;75;18;4;77.31958763;18.55670103;4.12371134
Haiti;1;1;0;0;100;0;0
Honduras;98;45;50;3;45.91836735;51.02040816;3.06122449
Hong Kong;5;0;0;5;0;0;100
Hungary;1467;801;646;20;54.60122699;44.03544649;1.363326517
Iceland;43;33;6;4;76.74418605;13.95348837;9.302325581
India;845;302;460;83;35.73964497;54.43786982;9.822485207
Indonesia;27;25;2;0;92.59259259;7.407407407;0
Iran;49;19;21;9;38.7755102;42.85714286;18.36734694
Ireland;631;537;93;1;85.10301109;14.7385103;0.158478605
Israel;376;139;201;36;36.96808511;53.45744681;9.574468085
Italy;10802;6003;4576;223;55.57304203;42.36252546;2.064432512
Jamaica;1;0;1;0;0;100;0
Japan;30;19;7;4;63.33333333;23.33333333;13.33333333
Jordan;48;15;19;14;31.25;39.58333333;29.16666667
Kazakhstan;50;46;3;1;92;6;2
Kenya;658;142;464;52;21.58054711;70.51671733;7.902735562
Kyrgyzstan;6;6;0;0;100;0;0
Laos;67;16;9;42;23.88059701;13.43283582;62.68656716
Latvia;155;129;26;0;83.22580645;16.77419355;0
Lebanon;15;10;4;1;66.66666667;26.66666667;6.666666667
Libya;1;1;0;0;100;0;0
Lithuania;362;286;69;7;79.00552486;19.06077348;1.933701657
Luxembourg;166;107;59;0;64.45783133;35.54216867;0
Madagascar;43;32;8;3;74.41860465;18.60465116;6.976744186
Malawi;2;2;0;0;100;0;0
Malaysia;40;7;14;19;17.5;35;47.5
Mali;5;4;1;0;80;20;0
Malta;133;81;34;18;60.90225564;25.56390977;13.53383459
Martinique;216;188;25;3;87.03703704;11.57407407;1.388888889
Mauritius;9;7;1;1;77.77777778;11.11111111;11.11111111
Mayotte;71;25;10;36;35.21126761;14.08450704;50.70422535
Mexico;177;75;94;8;42.37288136;53.10734463;4.519774011
Moldova;170;120;49;1;70.58823529;28.82352941;0.588235294
Montenegro;1;0;1;0;0;100;0
Morocco;740;196;507;37;26.48648649;68.51351351;5
Mozambique;8;2;6;0;25;75;0
Myanmar/Burma;10;10;0;0;100;0;0
Namibia;33;1;32;0;3.03030303;96.96969697;0
Nepal;2;1;1;0;50;50;0
Netherlands;2677;1227;1394;56;45.8348898;52.07321629;2.091893911
New Zealand;302;224;76;2;74.17218543;25.16556291;0.662251656
Nicaragua;12;7;4;1;58.33333333;33.33333333;8.333333333
Nigeria;2;2;0;0;100;0;0
Non EEA;29;11;16;2;37.93103448;55.17241379;6.896551724
North Korea;8;8;0;0;100;0;0
Norway;421;269;131;21;63.89548694;31.11638955;4.988123515
Pakistan;86;53;23;10;61.62790698;26.74418605;11.62790698
Palestinian Territory, Occupied;1;1;0;0;100;0;0
Panama;40;3;37;0;7.5;92.5;0
Papua New Guinea;1;0;1;0;0;100;0
Paraguay;3;3;0;0;100;0;0
Peru;466;207;241;18;44.42060086;51.7167382;3.862660944
Philippines;5;3;2;0;60;40;0
Poland;2225;1169;965;91;52.53932584;43.37078652;4.08988764
Portugal;525;235;282;8;44.76190476;53.71428571;1.523809524
Puerto Rico;5;0;5;0;0;100;0
Réunion;35;21;12;2;60;34.28571429;5.714285714
Romania;2706;2128;515;63;78.64005913;19.03178123;2.328159645
Russia;120;89;28;3;74.16666667;23.33333333;2.5
Rwanda;5;3;1;1;60;20;20
Saint Helena, Ascension and Tristan da Cunha;1;0;1;0;0;100;0
Saudi Arabia;43;4;35;4;9.302325581;81.39534884;9.302325581
Senegal;53;14;38;1;26.41509434;71.69811321;1.886792453
Serbia;120;49;64;7;40.83333333;53.33333333;5.833333333
Slovakia;170;96;71;3;56.47058824;41.76470588;1.764705882
Slovenia;371;288;79;4;77.62803235;21.29380054;1.078167116
South Africa;1053;212;821;20;20.13295347;77.9677113;1.899335233
South Korea;10;6;4;0;60;40;0
Spain;7657;3028;4474;155;39.54551391;58.43019459;2.024291498
Sri Lanka;148;90;36;22;60.81081081;24.32432432;14.86486486
Sudan;2;2;0;0;100;0;0
Suriname;72;27;37;8;37.5;51.38888889;11.11111111
Swaziland;1;0;1;0;0;100;0
Sweden;490;359;130;1;73.26530612;26.53061224;0.204081633
Switzerland;38;29;9;0;76.31578947;23.68421053;0
Syria;11;7;2;2;63.63636364;18.18181818;18.18181818
Taiwan;10;2;4;4;20;40;40
Tanzania;13;8;3;2;61.53846154;23.07692308;15.38461538
Thailand;627;353;182;92;56.29984051;29.02711324;14.67304625
The Gambia;2;2;0;0;100;0;0
Togo;12;10;2;0;83.33333333;16.66666667;0
Tunisia;62;35;22;5;56.4516129;35.48387097;8.064516129
Turkey;6907;2935;3602;370;42.49312292;52.14999276;5.35688432
Turkmenistan;1;1;0;0;100;0;0
Uganda;134;78;32;24;58.20895522;23.88059701;17.91044776
Ukraine;159;142;15;2;89.3081761;9.433962264;1.257861635
United Arab Emirates;7;5;2;0;71.42857143;28.57142857;0
United Kingdom;1657;947;674;36;57.15147858;40.67592034;2.172601086
United States;322;118;186;18;36.64596273;57.76397516;5.590062112
Unknown;5563;3339;2011;213;60.02157109;36.14955959;3.828869315
Uruguay;55;21;32;2;38.18181818;58.18181818;3.636363636
Uzbekistan;6;6;0;0;100;0;0
Venezuela;2;2;0;0;100;0;0
Vietnam;476;195;191;90;40.96638655;40.12605042;18.90756303
Yemen;1;1;0;0;100;0;0
Zambia;5;2;2;1;40;40;20
Zimbabwe;60;18;40;2;30;66.66666667;3.333333333